task_id	model	timestamp	parser_rate	acc	precision	recall	f1
03	DolphinUltrasound	2025-07-06 16:06:41	1.0000	0.9708	0.9578	0.9708	0.9623
37	DolphinUltrasound	2025-07-06 16:06:46	1.0000	0.9876	0.9884	0.9869	0.9876
50	DolphinUltrasound	2025-07-06 16:06:46	1.0000	0.5196	0.4717	0.3897	0.4138
53	DolphinUltrasound	2025-07-06 16:06:49	1.0000	0.5842	0.2062	0.1854	0.1924
69	DolphinUltrasound	2025-07-06 16:06:50	1.0000	0.5300	0.4989	0.5072	0.4999
10	DolphinUltrasound	2025-07-06 16:06:50	1.0000	0.9868	0.7949	0.7903	0.7926
18	DolphinUltrasound	2025-07-06 16:06:51	1.0000	0.9020	0.9076	0.9020	0.9016
21	DolphinUltrasound	2025-07-06 16:06:52	1.0000	0.6784	0.7182	0.6718	0.6577
23	DolphinUltrasound	2025-07-06 16:06:52	1.0000	0.8500	0.8709	0.8094	0.8335
25	DolphinUltrasound	2025-07-06 16:06:53	1.0000	0.7100	0.7283	0.5760	0.5551
28	DolphinUltrasound	2025-07-06 16:06:53	1.0000	0.2115	0.2712	0.1833	0.1679
32	DolphinUltrasound	2025-07-06 16:06:54	1.0000	0.5825	0.3076	0.2800	0.2609
40	DolphinUltrasound	2025-07-06 16:06:55	1.0000	0.5321	0.3686	0.3857	0.3702
42	DolphinUltrasound	2025-07-06 16:06:55	1.0000	0.5248	0.3918	0.3875	0.3513
44	DolphinUltrasound	2025-07-06 16:06:55	0.9444	0.3431	0.2774	0.2392	0.2387
57	DolphinUltrasound	2025-07-06 16:06:56	1.0000	0.6038	0.3680	0.3602	0.3603
66	DolphinUltrasound	2025-07-06 16:06:56	1.0000	0.8700	0.8786	0.8411	0.8541
70	DolphinUltrasound	2025-07-06 16:06:56	1.0000	0.7000	0.3807	0.3727	0.3649
75	DolphinUltrasound	2025-07-06 16:06:56	1.0000	0.9900	0.6667	0.6600	0.6633
74is_normal	DolphinUltrasound	2025-07-06 16:06:56	1.0000	0.7982	0.8474	0.6549	0.6756
74is_visible	DolphinUltrasound	2025-07-06 16:06:56	1.0000	0.5138	0.5104	0.5220	0.4381
anatomy	DolphinUltrasound	2025-07-06 16:06:58	1.0000	0.7364	0.4740	0.4875	0.4650
28_class	DolphinUltrasound	2025-07-06 16:06:58	1.0000	0.9911	0.9921	0.9911	0.9910
