task_id	model	timestamp	parser_rate	acc	precision	recall	f1
03	DolphinUltrasound	2025-07-05 23:42:09	1.0000	0.9416	0.9074	0.9602	0.9283
37	DolphinUltrasound	2025-07-05 23:42:14	1.0000	0.9609	0.9670	0.9609	0.9625
50	DolphinUltrasound	2025-07-05 23:42:14	1.0000	0.3725	0.5491	0.2794	0.2821
53	DolphinUltrasound	2025-07-05 23:42:17	1.0000	0.6238	0.2117	0.2040	0.2049
69	DolphinUltrasound	2025-07-05 23:42:18	1.0000	0.6300	0.7103	0.5651	0.5793
10	DolphinUltrasound	2025-07-05 23:42:18	1.0000	0.9868	0.9878	0.9854	0.9864
18	DolphinUltrasound	2025-07-05 23:42:20	1.0000	0.9314	0.9329	0.9314	0.9313
21	DolphinUltrasound	2025-07-05 23:42:20	1.0000	0.6725	0.7135	0.6657	0.6504
23	DolphinUltrasound	2025-07-05 23:42:21	1.0000	0.8200	0.8380	0.7714	0.7925
25	DolphinUltrasound	2025-07-05 23:42:21	1.0000	0.6900	0.6775	0.6995	0.6757
28	DolphinUltrasound	2025-07-05 23:42:21	1.0000	0.1923	0.2236	0.1667	0.1342
32	DolphinUltrasound	2025-07-05 23:42:22	1.0000	0.6019	0.2603	0.2387	0.2483
40	DolphinUltrasound	2025-07-05 23:42:23	1.0000	0.4587	0.2118	0.1933	0.1994
42	DolphinUltrasound	2025-07-05 23:42:23	1.0000	0.4356	0.5352	0.5244	0.4211
44	DolphinUltrasound	2025-07-05 23:42:24	1.0000	0.3426	0.2988	0.2848	0.2820
57	DolphinUltrasound	2025-07-05 23:42:24	1.0000	0.4811	0.4395	0.4389	0.4392
66	DolphinUltrasound	2025-07-05 23:42:24	1.0000	0.8900	0.8881	0.8737	0.8799
70	DolphinUltrasound	2025-07-05 23:42:24	1.0000	0.7100	0.5920	0.5773	0.5759
75	DolphinUltrasound	2025-07-05 23:42:24	1.0000	0.9900	0.9902	0.9900	0.9900
74is_normal	DolphinUltrasound	2025-07-05 23:42:24	1.0000	0.7431	0.6778	0.6359	0.6464
74is_visible	DolphinUltrasound	2025-07-05 23:42:24	1.0000	0.6972	0.4919	0.4883	0.4847
anatomy	DolphinUltrasound	2025-07-05 23:42:26	1.0000	0.5636	0.3250	0.2881	0.2969
28_class	DolphinUltrasound	2025-07-05 23:42:26	1.0000	1.0000	1.0000	1.0000	1.0000
