task_id	model	timestamp	parser_rate	acc	precision	recall	f1
03	InternVL3-9B-Instruct	2025-05-13 13:34:04	1.0000	0.0000	0.0000	0.0000	0.0000
03	Do-7B	2025-05-13 13:34:05	1.0000	0.0000	0.0000	0.0000	0.0000
03	gemini-2.5-pro-preview-03-25	2025-05-13 13:34:06	1.0000	0.9416	0.9066	0.9663	0.9322
03	Do-3B	2025-05-13 13:34:07	1.0000	0.0000	0.0000	0.0000	0.0000
03	Mistral-Small-3.1-24B-Instruct-2503	2025-05-13 13:34:07	1.0000	0.0000	0.0000	0.0000	0.0000
03	Qwen2.5-VL-72B-Instruct	2025-05-13 13:34:08	1.0000	0.7518	0.6130	0.7693	0.6467
03	Qwen2.5-VL-32B-Instruct	2025-05-13 13:34:08	1.0000	0.9051	0.8695	0.9656	0.9031
03	LLaVA-1.5-13B-HF	2025-05-13 13:34:10	1.0000	0.0000	0.0000	0.0000	0.0000
03	Phi-4-multimodal-instruct	2025-05-13 13:34:10	1.0000	0.0000	0.0000	0.0000	0.0000
03	doubao-1.5-vision-pro-32k-250115	2025-05-13 13:34:11	1.0000	0.9270	0.9020	0.9339	0.9131
03	Qwen2.5-VL-7B-Instruct-Pro	2025-05-13 13:34:12	1.0000	0.5255	0.4900	0.6883	0.5328
37	InternVL3-9B-Instruct	2025-05-13 13:34:17	1.0000	0.3517	0.0903	0.2426	0.1316
37	local_model	2025-05-13 13:34:22	1.0000	0.0000	0.0000	0.0000	0.0000
37	Do-7B	2025-05-13 13:34:26	1.0000	0.2433	0.0146	0.0087	0.0089
37	qwen2.5-vl-3b-instruct	2025-05-13 13:34:30	1.0000	0.3623	0.1208	0.3333	0.1773
37	gemini-2.0-pro-exp-02-05	2025-05-13 13:34:34	1.0000	0.5631	0.4135	0.5355	0.4441
37	gemini-2.5-pro-preview-03-25	2025-05-13 13:34:38	1.0000	0.5346	0.2675	0.3811	0.3118
37	Do-3B	2025-05-13 13:34:42	1.0000	0.3890	0.0686	0.0619	0.0583
37	Mistral-Small-3.1-24B-Instruct-2503	2025-05-13 13:34:46	1.0000	0.3464	0.2037	0.1687	0.1111
37	Qwen2.5-VL-72B-Instruct	2025-05-13 13:34:50	1.0000	0.3375	0.2490	0.2484	0.1788
37	Qwen2.5-VL-32B-Instruct	2025-05-13 13:34:55	1.0000	0.3588	0.2537	0.2622	0.2319
37	qwen-max-2025-01-25	2025-05-13 13:34:59	1.0000	0.3464	0.2540	0.3350	0.2159
37	LLaVA-1.5-13B-HF	2025-05-13 13:35:03	1.0000	0.3339	0.1226	0.1192	0.1036
37	Phi-4-multimodal-instruct	2025-05-13 13:35:07	1.0000	0.3641	0.1112	0.1034	0.0804
37	gpt-4o-mini	2025-05-13 13:35:11	1.0000	0.4405	0.3834	0.4192	0.3811
37	doubao-1.5-vision-pro-32k-250115	2025-05-13 13:35:15	1.0000	0.3694	0.4527	0.2685	0.1708
37	Qwen2.5-VL-7B-Instruct-Pro	2025-05-13 13:35:19	1.0000	0.2718	0.2760	0.2656	0.2503
37	gpt-4o-2024-08-06	2025-05-13 13:35:23	1.0000	0.1172	0.4413	0.0863	0.0939
37	claude-3-7-sonnet-20250219	2025-05-13 13:35:27	1.0000	0.3250	0.0077	0.0206	0.0112
50	InternVL3-9B-Instruct	2025-05-13 13:35:27	1.0000	0.3137	0.3734	0.3137	0.2534
50	local_model	2025-05-13 13:35:28	1.0000	0.0000	0.0000	0.0000	0.0000
50	Do-7B	2025-05-13 13:35:28	1.0000	0.1569	0.0183	0.0109	0.0103
50	qwen2.5-vl-3b-instruct	2025-05-13 13:35:28	1.0000	0.3333	0.1111	0.3333	0.1667
50	gemini-2.5-pro-preview-03-25	2025-05-13 13:35:28	1.0000	0.3431	0.2092	0.2574	0.1615
50	Do-3B	2025-05-13 13:35:28	1.0000	0.3039	0.2337	0.2279	0.1901
50	Mistral-Small-3.1-24B-Instruct-2503	2025-05-13 13:35:28	1.0000	0.3922	0.2897	0.3922	0.2905
