task_id	model	RMSE	MAE	Std	%_within_tolerance
18	InternVL3-9B-Instruct	30.8443	23.3414	27.0024	1.0526
18	Do-7B	35.4758	28.1844	30.5004	0.0000
18	qwen2.5-vl-3b-instruct	44.5795	40.5544	22.0047	0.0000
18	gemini-2.5-pro-preview-03-25	24.1222	21.9412	11.2220	0.0000
18	Do-3B	47.9580	46.9305	15.9948	0.0000
18	Mistral-Small-3.1-24B-Instruct-2503	22.3567	18.6938	12.6353	0.0000
18	LLaVA-1.5-13B-HF	36.1714	29.7918	28.3956	0.0000
18	Phi-4-multimodal-instruct	49.2320	48.6113	7.7931	0.0000
18	doubao-1.5-vision-pro-32k-250115	15.1822	14.5000	14.5000	0.0000
27	InternVL3-9B-Instruct	nan	nan	nan	6.9767
27	Do-7B	nan	nan	nan	4.3478
27	qwen2.5-vl-3b-instruct	nan	nan	nan	0.0000
27	gemini-2.0-pro-exp-02-05	nan	nan	nan	21.9178
27	gemini-2.5-pro-preview-03-25	nan	nan	nan	21.4286
27	Do-3B	nan	nan	nan	0.0000
27	Mistral-Small-3.1-24B-Instruct-2503	nan	nan	nan	0.0000
27	Qwen2.5-VL-72B-Instruct	nan	nan	nan	2.0408
27	Qwen2.5-VL-32B-Instruct	nan	nan	nan	5.2632
27	qwen-max-2025-01-25	nan	nan	nan	nan
27	LLaVA-1.5-13B-HF	nan	nan	nan	18.2927
27	Phi-4-multimodal-instruct	nan	nan	nan	nan
27	gpt-4o-mini	nan	nan	nan	0.0000
27	doubao-1.5-vision-pro-32k-250115	nan	nan	nan	2.7778
27	Qwen2.5-VL-7B-Instruct-Pro	nan	nan	nan	4.3478
27	gpt-4o-2024-08-06	nan	nan	nan	1.6949
27	claude-3-7-sonnet-20250219	nan	nan	nan	1.8868
50	InternVL3-9B-Instruct	205.2429	198.1637	53.4394	0.0000
50	Do-7B	223.1115	217.7208	48.7486	0.0000
50	qwen2.5-vl-3b-instruct	228.5445	225.4511	37.4752	0.0000
50	gemini-2.0-pro-exp-02-05	79.0480	51.3461	79.0472	0.0000
50	gemini-2.5-pro-preview-03-25	52.0257	36.5361	51.5033	0.9615
50	Do-3B	229.0080	224.0351	47.4651	0.0000
50	Mistral-Small-3.1-24B-Instruct-2503	73.8818	73.8818	0.0000	0.0000
50	Qwen2.5-VL-72B-Instruct	45.5123	36.0034	45.5123	0.0000
50	Qwen2.5-VL-32B-Instruct	163.7639	138.1061	95.8233	0.0000
50	qwen-max-2025-01-25	70.1312	58.3667	39.2282	0.0000
50	LLaVA-1.5-13B-HF	1012.3273	313.1531	1009.8874	0.0000
50	Phi-4-multimodal-instruct	154.8439	141.0132	73.5572	0.0000
50	gpt-4o-mini	226.3624	225.4292	20.5331	0.0000
50	doubao-1.5-vision-pro-32k-250115	230.7685	228.6295	31.3471	0.0000
50	Qwen2.5-VL-7B-Instruct-Pro	225.5559	220.6338	46.8636	0.0000
50	gpt-4o-2024-08-06	77.3066	76.1148	13.5218	0.0000
50	claude-3-7-sonnet-20250219	nan	nan	nan	nan
57	InternVL3-9B-Instruct	40.5637	36.5094	27.3850	0.9434
57	Do-7B	25.4834	16.1150	25.0244	15.0000
57	qwen2.5-vl-3b-instruct	30.2366	28.8208	23.4372	0.0000
57	gemini-2.5-pro-preview-03-25	51.3016	47.5094	25.2114	1.8868
57	Do-3B	43.4247	37.2087	36.8196	1.9231
57	Mistral-Small-3.1-24B-Instruct-2503	32.2432	28.6250	23.3188	0.0000
57	LLaVA-1.5-13B-HF	44.0644	33.8172	38.0780	3.8095
57	Phi-4-multimodal-instruct	37.3052	33.2600	28.2364	0.0000
57	doubao-1.5-vision-pro-32k-250115	23.7441	19.8585	23.2218	6.6038
