task_id	model	timestamp	RMSE	MAE	Std	%_within_tolerance	failed_items
18	InternVL3-9B-Instruct	2025-05-13 13:39:54	0.1445	0.1204	0.1407	44.5545	1
18	Mistral-Small-3.1-24B-Instruct-2503	2025-05-13 13:39:55	0.1559	0.1249	0.1536	48.5149	1
18	LLaVA-1.5-13B-HF	2025-05-13 13:39:57	0.2626	0.1605	0.2393	42.268	5
18	Phi-4-multimodal-instruct	2025-05-13 13:39:58	0.2005	0.1582	0.187	45.6522	56
27	InternVL3-9B-Instruct	2025-05-13 13:39:59	0.3048	0.2073	0.3045	60.0	14
27	Mistral-Small-3.1-24B-Instruct-2503	2025-05-13 13:40:00	nan	nan	nan	nan	24
27	LLaVA-1.5-13B-HF	2025-05-13 13:40:00	0.1849	0.1643	0.1799	30.7692	11
27	Phi-4-multimodal-instruct	2025-05-13 13:40:01	0.2175	0.2175	0.0	0.0	23
50	InternVL3-9B-Instruct	2025-05-13 13:40:02	0.1811	0.1392	0.1545	41.7476	1
50	Mistral-Small-3.1-24B-Instruct-2503	2025-05-13 13:40:03	0.1675	0.1331	0.1661	45.9459	30
50	LLaVA-1.5-13B-HF	2025-05-13 13:40:03	0.2765	0.2309	0.2186	18.8235	19
50	Phi-4-multimodal-instruct	2025-05-13 13:40:04	0.2324	0.1836	0.2188	32.3944	33
57	InternVL3-9B-Instruct	2025-05-13 13:40:04	0.3763	0.3303	0.3269	9.434	0
57	Mistral-Small-3.1-24B-Instruct-2503	2025-05-13 13:40:04	0.5023	0.4672	0.2803	2.8571	1
57	LLaVA-1.5-13B-HF	2025-05-13 13:40:04	0.5014	0.422	0.3823	17.6471	4
57	Phi-4-multimodal-instruct	2025-05-13 13:40:04	0.3831	0.3281	0.3149	12.0879	15
